Fon,French
Zo ɖo kikεn wε ɖo gle lε mε.,Des feux d’herbes brillent dans les champs
"Hwezivɔ sin te cici trolo ɔ, yozo nɔ jε ɖiɖe ji.","Dès le lever du soleil, il se met à faire chaud"
Afɔ ɖe lε ɖigbe ɖo escalier ɔ mε.,Des pas retentissent dans l’escalier
"Trolo ɖee e mɔ mi ɔ, e ko nu.","Dès qu'il m'a vu, il m'a souri"
"Kofi wa trolo ɔ, mi na yi.","Dès que Kofi sera venu, nous partirons"
"Nu hwezivɔ yi xɔ ɔ, koklo lε nɔ d'amlɔ.","Dès que le soleil se couche, les poules s’endorment"
"Nu zunkan lε wu ɔ, kanlin lε nɔ nyin kpikpala yi gle mε.","Dès que l’herbe pousse, les bêtes sont menées aux champs"
Mi jlo nu ma do alɔ nu mi a ?,Désirez-vous que je vous aide ?
Jomεhun we nyi gbigba ɖo tecici mε yetɔn gudo.,Deux avions se sont écrasés après avoir décollé
"Azan ɖe jε fin nε lε ɔ, e lε vɔ fin wema we.","Deux semaines après, il vola de même un livre et un cahier"
Mawu wε blo koklosi nukɔntɔn ɔ.,Dieu a créé la première poule !
Mawu blo jixwe kpodo ayikungban kpo.,Dieu a créé le ciel et la terre
Mawu blo nu lε bi.,Dieu a tout créé
Mawu na sɔ ɖo tεn tɔn mε nu we.,Dieu le remettra à sa place pour toi
Mawu kεɖε wε nɔ na lanmε.,Dieu seul donne la santé
Mawu na ba d'eji nu wε.,Dieu t'en donnera plus
"Mawu na hεn we, Mawu na kpɔn we.","Dieu veillera sur toi, que Dieu te garde"
Mi ɖo nu kponɔ lε ɖɔ ye nyi ylɔ kunnuɖetɔ ɔ wa.,Dites au policier d'appeler le témoin
Mi ɖo nugbo nu mi ɖe lε.,Dites-vous la vérité ?
Kponɔ wo wε gble wu ɖo tu dida ɔ mε.,Dix policiers ont été blessés dans les émeutes
"Dlama yi wa nu we, ahwi kpodo nukun towe tita lε kpo.","Dlama est tombé amoureux de toi, séduit par tes beaux yeux étincelants."
A na do gbe mε towe lε nu mi.,Donne mes salutations aux tiens de ma part
Na nuɖuɖu mitɔn tεgbε tɔn.,Donne notre nourriture de chaque jour
Na mi tεnmε yɔywε ɖe.,Donne-moi quelques explications
Ze nyεvi ɖokpo nu mi.,Donne-moi une aiguille
Se unɖe e blo ɔ.,Ecoute ce qu'il fit
Mi se xo ɖiɖɔ ɔ amɔ mi ma wlan o.,Écoutez le dialogue mais n'écrivez pas
Un ylɔ ɖo gan wo kpo ceju wo gblamε.,"Eh bien, j'ai appelé à environ dix heures moins dix"
"Un do na a, amɔ e nyɔ.","Eh bien, je ne devrais pas, mais d'accord"
E ta akiti nu ma nɔ te.,Elle a insisté pour que je reste
E ze zin ɔ ɖo ado ji.,Elle a mis la marmite sur le feu
Lεnkpɔn ɖaxo d'e ɖo tagba do n'i wε.,Elle a un gros rhume
E ɖo kple ɖaxo ɖe.,Elle a une réunion importante
"E xɔ amanga we, kokwe ɖokpo.",Elle achète deux mangues et une banane
E ɖo koklo tɔn lε ylɔ wε.,Elle appelle ses poules
E na ɔ ba nu a nε wlan nu do glεnsingbe mε.,Elle aurait préféré que tu écrives en anglais
E lε vɔ mɔ ɖevo.,Elle en a vu encore un autre
E nu kaka bo ba eɖee mε kpo bo jε kɔfu mε bo ku.,"Elle en but tellement qu'elle s'enivra, tomba dans le verre et y mourut"
E ɖo xwe gbe.,Elle est à la maison
E cyɔn kpodo xɔgbagannu kpo.,Elle est couverte avec des tôles
E nyi mεxo nu we azɔn wε.,Elle est deux fois plus âgée que toi
Eye wε nyi mεxo bi ɔ.,Elle est la plus âgée
E ɖo azɔn jε wε.,Elle est malade
"E tɔn sin azin ɖevo mε, un wɔn a.","Elle est sortie d'un autre oeuf, je ne l'ai pas oublié"
E nɔ ɖo nukun mε nyalanyala ji.,Elle est toujours de mauvaise humeur quand elle prend tôt son petit déjeuner
E nɔ ɖo jijan hwebinu.,Elle est tout le temps occupée
"E yi wan nu nunamε, bo yi wan nu mεjitɔ tɔn lε kpodo togun tɔn ɖe nɔ wa ɖagbe enε ɔ kpo.","Elle était gentille, elle aimait ses parents et son peuple qui le lui rendaient bien"
E ɖo azɔn jε wε hwenenu bo ɖo zan ji.,"Elle était malade, elle était au lit"
Ɖ'ayi ɔ e ɖo kpεvi.,Elle était très petite autrefois
E blo mε ɖe se ɔ ɖɔhun.,Elle faisait semblant d'écouter
E nɔ kan wezun tɔn lε azɔn we do vodungbegblamε ɔ mε.,Elle fait ses courses deux fois par semaine
E nɔ si bo wli nu nuɖuɖu din.,Elle fait très attention à l'hygiène
E ɖo xwe ɖe gbe ɖo Zogbo.,Elle habite dans un appartement à zogbo
E nɔ xo hun ganji.,Elle joue merveilleusement du tam-tam
E nɔ nya awu mitɔn lε bo nɔ lε tɔ ye e.,Elle lave et coud nos habits
E ze mi su hɔn ɔ na.,Elle m'a fait fermer la porte
E xlε mi alokε tɔ tɔn ɔ.,Elle m'a montré la bague de son père
E kpla mi yi xwegbe tlolo.,Elle m'a reconduit à la maison en un rien de temps
E nɔ zan mi ɖi yɔkpɔvu ɖɔhun.,Elle me traite comme un enfant
E se wuvε kaka ku.,Elle meurt dans la douleur
E ɖo zingidi ɖu wε kaka bo ku.,Elle mourut en se débattant
E tuun ɖee e na bo gbɔn ɔ a.,Elle n'a pas le choix
E ɖo na ɔ tuwun nu mɔ ɖɔhun ǎ.,Elle n'aurait pas dû connaître ce genre de chose
E nyi nuɖatɔ ɖagbe ɖe a.,Elle n'est pas très bonne cuisinière
E tuun nuɖe ba wε e ɖe o a.,Elle ne savait pas ce qu'ils cherchaient
E nɔ za xwe mitɔn gbe.,Elle nettoie la maison et la cour
E nɔ ɖa nuɖuɖu.,Elle prépare la nourriture
E kpɔn alɔ tɔn lε bi xwe.,Elle regarda autour d'elle.
E flin n'i.,Elle se souvient de lui
E do amlɔ bo na ya wu fɔn.,Elle s’endormit pour se réveiller de bonne heure
E nɔ w'azɔ gege.,Elle travaille beaucoup
Yé yi 'concert'.,Elles allaient au concert
E ɖo koklo yetɔn ylɔ wε.,Elles appellent leurs poules
E ɖo awu tɔn lε nya wε e.,Elles lavent les habits
Ye ɖo ɖa vun n'ε wε.,Elles le peignent
Ye ɖo xwe ɖokpo ɔ.,Elles ont le même âge
Ye yi wan nu yeɖe tawun.,Elles s'aiment bien
Ye nɔ ma yeɖe gbɔn fi bi.,Elles se dispersent dans toutes les directions
Ye nɔ kple yeɖe zanmε kεɖε.,Elles se réunissent seulement le soir
Ye ɖiɖo ɖo zan kuku mε.,Elles sont parties à la nuit tombante
Ye nɔ ɖo bibε hwenuɖe ye xu ɔ.,Elles sont ramassées quand elles sont sèches
Ye ɖo ayijε wε sin atin ɔ ji.,Elles tombent de l’arbre
Ze kpo gaga elɔ bo yi ba dan ɖee ɖi ga ɖi e ɖɔhun ɖokpo wa.,Emporte aussi ce bâton et va chercher un serpent aussi long que lui
Ze govi elɔ bo ba xεvi ɖe mε ni go.,Emporte cette gourde et emplis-la de petits oiseaux
"Nu awovi wa jε ɔ, a na ylɔ zocitɔ lε.","En cas d'accident, tu préviens les pompiers"
"Ɖo azɔxɔ mε ɔ, mi nɔ mɔ akluzu, tabilo, tavo, wεmaɖiɖe, bo, aluma, wema lε, nuwlannu lε kpodo nuɖe vo lε kpo.","En classe nous voyons un crucifix, des tableaux, des bancs, des images, une sonnette, une armoire, des livres, des crayons, et beaucoup d'autres objets"
"Ɖo azɔxɔ mε ɔ, Michel nɔ nɔ xwii.","En classe, Michel reste tranquille"
"Enε gudo, mi ɖo xwe ɖokpo ɖo Glexwe.","En plus, nous avons une maison à Ouidah"
Di hunkuntɔ mi nɔ te ma na mi nukplɔnmε elɔ.,"En tant que conducteur, permettez-moi ce conseil"
"Vi, mi nɔ do alɔ nu mi ɖe lε.","Enfants, aidez-vous les uns les autres"
Vi ce lε co na ku ɔ na kplɔn un ɖe lε mi.,"Enfants, je vous laisse, en mourant, trois bons conseils"
"Vi lε, mi nɔ xwe do nukplɔn mε mεjitɔ mitɔn lε tɔn.","Enfants, suivez les conseils de vos parents"
Su ye nu azan tantɔn ɖo gbavi towe mε.,Enferme-les pendant huit jours dans ta malle
"Enε ɔ gudo, e nɔ yi azɔmε ɖo gan tennε mε.","Ensuite, elle va au travail à neuf heures"
Ɖe kintɔ lε mɔ weziza e nε ɔ sin sεxwe xεsi ɖaxo ɖe ɖi ye bɔ ye gbɔ gosin to ɔ mε kplakpla.,"Épouvantés par le disque lumineux qui montait dans le ciel, les ennemis préférèrent quitter précipitamment le pays"
A wa aximε wε à ?,Es-tu allé au marché ?
Bεninu wε a nyi à ?,Es-tu Béninois ?
A wa fi ɖokpo à ?,Es-tu venu ici une fois ?
Tεnkpɔn bo ma wɔn agban towe lε ɖo jɔmεhunj'ayitεn o.,Essaie de ne pas oublier tes bagages à l'aéroport !
Tεnkpɔn bo wa xwe gbe cobɔ nu zan ni ku.,Essaie de rentrer avant qu'il ne fasse nuit
E nyɔ nu e na nɔ ɖɔ nugbo a ?,Est-ce bon d’être franc ?
E to nyi nugbo wε hun?,Est-ce la vérité ?
E lin ɖo fi wε a ?,Est-ce loin d'ici ?
E nɔ ɖu akwε gege à ?,Est-ce qu'elle gagne beaucoup d'argent ?
Fun tɔn lε klo wε a ?,Est-ce qu'il a le poil long ?
Gbeɖutε ɖo fi a ?,Est-ce qu'il y a des boîtes de nuit ?
Mɔto lε ɖe bo nɔ wa hunɖotεn ɔ a ?,Est-ce qu'il y a des taxis qui attendent à la gare routière ?
Mɔto ɖo tεn do fi a ?,Est-ce qu'il y a une gare routière ?
A ɖo nyinyi wε à ?,Est-ce que ça va?
"Nu un nu azɔ ɔ, e na do tagba nu mi wε a ?",Est-ce que ça vous gêne si je fume?
Jane nɔ ba nudo wε a ?,Est-ce que Jane est curieuse ?
Un hεn ɔ na wa ze mɔto ce sɔ gbadanu a ?,Est-ce que je peux passer prendre ma voiture demain soir ?
Un si zan alokan mitɔn a ?,Est-ce que je pourrais me servir de votre téléphone ?
Kofi yi a wε a ?,Est-ce que Kofi n'est pas parti ?
Gan xo wε a ?,Est-ce que la cloche a sonné ?
Asi towe ɖo gangi à ?,Est-ce que ta femme va bien ?
Lanmε towe ɖo ganji a ?,Est-ce que ta santé est bonne ?
Asi towe lε ɖo gangi à ?,Est-ce que tes femmes se portent bien ?
Asu towe ɖo gangi à ?,Est-ce que ton mari va bien ?
A mɔ akwε sin saki towe à ?,Est-ce que tu as retrouvé ton porte-monnaie ?
A sa nu kpεɖe à ?,Est-ce que tu as vendu un peu ?
A na nɔ kplekple ɔ tεnmε à ?,Est-ce que tu assisteras à la réunion ?
E ji we ɖo Londres wε ?,Est-ce que tu es né à Londres ?
A ɖo wɔxuxu mε we à ?,Est-ce que tu fais cuire du pain ?
A nɔ blo sport à ?,Est-ce que tu fais du sport ?
A do jiɖe do wutu tɔn à ?,Est-ce que tu lui fais confiance ?
A yi wan nu mi à ?,Est-ce que tu m'aimes ?
A sixu wa aklunɔzangbe à ?,Est-ce que tu peux venir dimanche ?
A na wa xɔ atinsinsεn ɖokpo à ?,Est-ce que tu vas acheter un fruit ?
A na nu sin kpεɖe à ?,Est-ce que tu vas boire un peu d’eau ?
Mi na vo yi a ?,Est-ce que vous en reprendrez ?
Mi nɔ nu azɔ a ?,Est-ce que vous fumez ?
Mi sixu blo azɔgo ce ɖo a ?,Est-ce que vous pouvez réparer mon pot d'échappement ?
E yi a ye ?,Est-ce qu’il n’est pas parti ?
E to nyi nuvu wε hun ?,Est-ce un mensonge ?
E zawe ganji à ?,Est-elle bien éclairée?
E wa kpodo eyε kpo à ?,Est-il arrivé avec lui ?
E ɖo dandan mε bɔ e ɖo na mε à ?,Est-il nécessaire d’être propre ?
Din ɔ nyɔnu ɔ yi do bo jo cuku ɔ do.,Et à présent la femme se baissait et lâchat le chien
Bo mi na hεn jiwu.,Et apportons un parapluie !
"Bo enε ɔ gudo ɔ, nu tε jε ?","Et après, que s'est-il passé ?"
Bɔ azin ɖevo elɔ fitε e gosin ?,Et cet autre oeuf d'où vient il ?
Bo nε vi lε fɔn gbɔn ?,Et comment vont les enfants ?
Bɔ fitε koklosi ɖevo e nε ɔ gosin ?,Et d'où est venu cette autre poule ?
Bo e nɔ ɖyɔ zanjivɔ azɔn gege ɖo vodungbegblamε ɔ mε.,Et elle change les draps plusieurs fois par semaine
Bɔ ye nɔ hwεn wan.,Et elles sentent mauvais
Kpo na lε kɔ ɖo yovotomε.,"Et ensuite, je retourne aux USA"
Aɖu tɔn lε klo wε à ?,Et il a de grandes dents
Bo e ka hwe hu we.,Et il est plus jeune que toi
Azɔmεxwe ɖokpo ɖesu ɖo finε.,Et il y a aussi une école
Bo nɔ kple ye ɖo kɔxota.,Et je les entasse dans la cour
Bo un nɔ vun ɖa ce.,Et je peigne souvent mes cheveux
Kpo na xɔ nu kpεɖe.,Et je vais acheter quelque chose
Kpo na nu sin kpεɖe.,Et je vais boire un peu d’eau
Bɔ Jesu vi towe ɖo acε lε bi.,"Et Jésus, ton fils, a toutes les grâces"
Myɔ ɖε ɔ nu ɖagbe ɖe ka wε.,Et la flamme est si belle
Bɔ ama lε ɖo hunhun wε.,Et les fleurs s’ouvrent
Ato lε e ɖo cica nu vi lε wε.,Et les singes se moquent des enfants
Bo sunnu lε sin wulεkpa ɖo amyɔ mε.,Et les toilettes pour hommes sont à gauche
Bo na sεn timati lε.,Et les tomates seront pelées
Bɔ nɔvi ce yi hwevi wli gbe.,Et mon frère est à la pêche
Ma ka lɔn nu mi jε awovi nu mε o.,Et ne nous laisse pas tomber dans les pièges du Diable
Bo mi na ɔ kple wemaxixa atɔn.,Et nous aurions économisé trois livres
Bo mi na ɖɔ xo kpεɖe.,Et nous pourrons discuter
Bo nu yaya ɖe wε gbεtɔ yaya ɖe lε wε a.,Et pas par n'importe quoi ni par n'importe qui…
Nu etε ?,Et pourquoi faire ?
Bo nuɖe tε wε ?,Et qu'est-ce que c'était ?
Mε wε nyavi ɖe ɖo akpa tɔn ɔ ?,Et qui est l'homme à côté d'elle ?
Bo awu tɔn lε ɖo nyla kan d'e ji wε.,Et ses chemises sont de plus en plus laides
Bɔ xɔntɔn tɔn n'alɔ ε.,Et son ami veut lui serrer la main
Bo vi tɔn hεn gbakun ɖo alɔ mε.,Et son fils a un chapeau à la main
"Akɔ towe lo, ye ɖo gangi à ?","Et ta famille, est-ce qu’ils vont bien ?"
"Vi towe lε lo, ye ɖo gangi a ?","Et tes enfants, ils sont bien ?"
"Asi towe lε lo, ye ɖo gangi à ?","Et tes femmes, elles sont bien ?"
Hwε lo ?,Et toi ?
Hwε lo ? Fitεnu wε nyi we ?,Et toi ? Tu es d'où?
"Hwε lo, fitε a gosin ?","Et toi, d'où viens-tu ?"
"Hwε lo, a ɖo gangi a ?","Et toi, est-ce que tu vas bien?"
"Hwε lo, etε a nɔ blo ?","Et toi, que fais-tu?"
"Hwε lo, toxo tε mε a gosin ?","Et toi, tu viens de quelle ville ?"
"Mi ɖe lε lo, etε mi nɔ blo ?","Et vous, qu'est-ce que vous faites ?"
Nu ci ko nu mi a ?,Êtes-vous fatigué ?
"Ganji, a na ye kwε a ?","Evidemment, tu leur as donné de l'argent?"
Mi nɔ gbɔn akpa nu nunyanya.,Evitez le mal
"Sɔ kε mi, un wɔn nyikɔ towe.","Excuse-moi, j'ai oublié ton prénom"
"Mi sɔ kε mi, dawe, hwetenu wε hun Kutɔnu tɔn ɖevo na sun ?","Excusez-moi, monsieur, quand est le prochain bus pour Cotonou ?"
"Mi kεnklεεn, fitε mɔtoɖotεn ɔ ɖe ?","Excusez-moi, où est la gare ?"
"Mi sɔ kε mi, fitε wulεkpa lε ɖe ?","Excusez-moi, où sont les toilettes, s’il vous plaît ?"
"Mi sɔ kε mi, xwe nabi wε cuku mitɔn ɖo ?","Excusez-moi, quel âge a votre chien ?"
"Mi ɖo mɔto jonɔ lε blo ɖo wε,  abi ?","Excusez-moi, vous réparez les voitures étrangères, n’est-ce pas ?"
"Blo dεdε, nyε ɖesu un nɔ hεn nu do tamε ɖi hwe ɖohun.","Fais attention, j'ai une aussi bonne mémoire que toi"
Blo nuɖe ɖɔ nu we e ɖe ɔ.,Fais ce qu'on te dit
Mi nɔ blo ganji.,Faites le bien
Un do ku nu we.,Félicitations
Zofinkplɔsun ɖo azan ko atɔn nukun atɔn.,Février a 28 jours
Florian tεn kpɔn bo d'amlɔ ɖo zan tɔn kpεvi ɔ ji.,Florian essayait de s'endormir dans son petit lit
"Florian, gbɔ sun mε nɔ.","Florian, cesse donc d'être dans la lune"
"Un ma na ɖo aɖingban a ɔ, εεn.","Franchement, oui !"
Mi ɖo kpe zozo kpodo hwevɔ kpo ɖe.,Génial ! Il fait chaud et ensoleillé
"Ɖo hwε wutu ɔ, e ɖona ɖuɖo kεntɔ lε ji.","Grâce à toi, il vaincra sans aucun doute ses ennemis"
Nɔnɔ yi wan nu kan lilɔn.,Grand-mère aime tricoter
Daagbo ɖo amlɔ dɔ wε ɖo azinkpo tɔn mε.,Grand-père dort dans son fauteuil
Daagbo ɖo azɔkwε nu wε.,Grand-père fume sa pipe
Daagbo ɔ ze cici tɔn bo na ɖo xa nu.,Grand-père prend ses lunettes pour lire
Daagbo ɖo gbigbɔ jε wε ɖo azinkpo tɔn mε.,Grand-père se repose dans son fauteuil
"Daagbo, vo ɖo ayi mε, mi na xwe do nukplɔn mε towe lε.","Grand-père, sois tranquille, nous suivrons tes conseils"
Nɔ ce ! Koklosi nukɔntɔn ɔ wε ɖo.,"Hé ! Maman, la première poule l'a pondu"
"Nunyinyɔ we, un ɖo mɔto sin Nataa gbe.","Heureusement, j'ai une voiture depuis Noël"
"Sɔ ɖe wa yi ɔ, e nɔ xwegbe.","Hier, elle est restée à la maison"
"Sɔ ɔ, mi nɔ te kpɔn taxi nu ceju ko.","Hier, nous avons attendu un taxi pendant vingt minutes"
"Fi alo fi ɖevo, e kan mi a.","Ici ou ailleurs, ça m'est égal"
E do xwe wewe.,Il a 12 ans
E ɖo ga ɖiɖi mεtlu ko.,Il a 20 mètres de long
E xɔ avɔ bo na tɔ cokoto kpεvi.,Il a acheté du tissu pour coudre une culotte
E xɔ wema tɔn zanzan elɔ.,Il a acheté son billet ce matin
E ɖo nu kplɔn mε sin hu ɖo.,Il a besoin de plus en plus de conseils
E ɖɔ ɖɔ Kɔku na da Asiba.,Il a cru que Koku épousera Asiba
E blo mɔ à ?,Il a fait ça ?
E blo ɖi e kun nɔ mɔ mi o ɖɔhun.,Il a fait comme s'il ne me voyait pas
E hεn ɖe lε bo nyɔ.,Il a fait pourrir tous les autres
E wa azɔ atɔn ɖo enε mε.,Il a fait trois exercices sur quatre
Jean ɖo ɖa wlowlo.,Il a les cheveux frisés
E ɖo ɖa gaga bo wutu tɔn vɔ.,Il a les cheveux longs et le teint clair
E ɖo nukun fεsinnɔ.,Il a les yeux bleus
Ta ɖo ɖuɖu wu'i wε.,Il a mal à la tête
E ɖo wuvε se wε gbɔn fi bi.,Il a mal partout
"E ɖu nu ɖo nuɖutε bo, enε ɔ gudo ɔ e yi sinema.","Il a mangé au restaurant et, après, il est allé au cinéma"
E nɔ mɔ nu gbɔ.,Il a mauvaise vue
E ɖɔ xεsinɔ lε bi ni yi xwe sɔ.,Il a ordonné que tous les poltrons s’en retournent chez eux demain
E zɔn ɖɔ a ma wa o.,Il a ordonné que tu ne viennes pas
E ɖo nε kpɔn ɖɔ nε sa mɔto tɔn.,Il a suggéré qu'elle vende sa voiture
E do kpɔn ɖɔ mi ni nɔ te.,Il a suggéré que nous nous arrêtions
E ko blo din.,Il a trop à faire
E mɔ ɖɔ vi ɔ ya avi.,Il a vu que l’enfant a pleuré
E ɖo lan xɔ wε.,Il achète de la viande
E xɔ avɔ bo na tɔ cokoto kpεvi.,Il achète du tissu pour coudre une culotte
E nɔ xɔ nuɖuɖu mitɔn kpo awu mitɔn lε kpo.,Il achète notre nourriture et nos habits
E nɔ do alɔ nu mεjitɔ tɔn lε.,Il aide ses parents
E ɖo jivi ɔ gan wε.,Il aiguise le couteau
E yi wan nu to ji gbigbɔn.,Il aimait faire du surf
E nyi wan nu Annu.,Il aime Anne
De e yi wan nu vεεn gbɔn mɔ jε e lε yi wan nu bia gbɔn.,Il aime autant le vin que la bière
E yi wan nu nu kpɔn gbɔn flεsεε nu.,Il aime regarder par la fenêtre
Bo ylɔ vi tɔn lε.,Il appela ses enfants
Bo ylɔ vi tɔn lε bo ɖɔ nu ye ɖɔ.,Il appela ses enfants et leur dit
E ɖo nɔ tɔn ylɔ wε.,Il appelle sa maman
E na ɖo xwe wεnε do woosun mε.,Il aura quatorze ans en décembre
E ɖi mε ɖo nu lin wε ɖɔhun.,Il avait l'ait inquiet
"Kple ɖe, e kpe wu bo wa a.","Il avait une réunion, il n'a donc pas pu venir"
E nɔ nu ahan dido ɖɔhun.,Il boit comme un trou
E nɔ nu ahan bo na wɔn nu.,Il boit pour oublier
E nɔ nu ahan din.,Il boit trop de bière
E ɖo kɔta lε gba wε kpodo alin kpo.,Il brise les mottes avec la houe
cocorico' !,Il chante
E ɖo han ɖokpo ji wε.,Il chante une chanson
E ɖo cavi tɔn lε ba wε.,Il cherche ses clefs
E jε ɖɔ mi ni sεn Mawu.,Il convient que nous adorions Dieu
Glelεtɔ ɔ ɖo abɔkun sεn wε.,Il coupe le mil
E ɖo mɔlikun sin wε.,Il coupe le riz
E ɖo gbehan ɔ sεn wε.,Il coupe l’herbe
E ɖo we ɖu wε.,Il danse
E kan byɔ ɖɔ e tuwun mε ɖe tɔn wε cavi lε ɔ a ji.,Il demanda si elle savait à qui appartenaient les clefs
E ɖo foloo ɖe wε ɖo wema tɔn ji.,Il dessine des fleurs sur son cahier
E ɖo na ɔ ɖo Bεnin hwenu ɖe awovi ɔ jε ɔ.,Il devait être au Bénin lorsque l'accident s'est produit
E ɖo na ɔ ku xwe εnε mε.,Il devait mourir quatre ans plus tard
E ɖo na do amlɔ din.,Il devrait dormir maintenant
E ɖo na nyi mεxo nε xwe atɔn alo εnε,Il doit avoir trois ou quatre ans de moins qu'elle
E ɖo na ɖo ali ji.,Il doit être sur la route
E ɖo na xwe cici.,Il doit porter des lunettes
Wlεnwin ɖevo ɖo na ɖe.,Il doit y avoir une autre solution
E nɔ na jiɖiɖe awajijε tɔn.,Il donne un espoir de bonheur et de joie
E nɔ se mεsi ɔ sin xo lε bi.,Il écoute toutes les paroles du maître
E nɔ wlan nu ganji do wema tɔn lε mε.,Il écrit bien ses devoirs dans son cahier
E byɔ xɔ ɔ mε ma xuxu hɔn.,Il entra dans la pièce sans frapper
E byɔ azɔmε eyε ɖokponɔ.,Il entra seul en classe
Gan ɖokpo ceju wo we.,Il est 1 h 10
Gan atɔn e kpo ceju wo we.,Il est 2 h 40
E yi naki ba gbe.,Il est allé chercher du bois de chauffage
E nyɔ nu un ni yi.,Il est bon que je parte
E ɖo xu ji sin vodungbegblamε ayizεn ɖie.,Il est en mer depuis plus de six semaines
"De e ma ɖo fi a o, nu kpaca wε.",Il est étrange qu'il ne soit pas là
E su ɖi dada tɔn ɖɔhun.,Il est grand comme sa sœur
E klo amɔ e kwiji bo lε nyɔ ǎ.,"Il est grand, mais sale et inconfortable"
Mi ɖo na ɖo to tlitli.,Il est important que vous écoutiez attentivement
E gbε nuɖuɖu na kanlin lε.,Il est interdit de nourrir les animaux
E ɖi ga nu mεtlu ko.,Il est long de vingt mètres
"Alɔ tɔn jlɔ ă, e nɔ mɔ nu ganji ă.",Il est maladroit
E ku jε tɔ mε.,Il est mort noyé
"E ɖi fɔnlin, ɖi dada tɔn ɖɔhun.","Il est paresseux, comme sa sœur d'ailleurs"
E yi kpodo nyi kpo.,Il est parti avec moi
E yi nyi mi vo.,Il est parti sans moi
E fɔn zan bo ɖido co bo un wa.,Il est parti un jour avant que je n'arrive
E hwe amɔ e mε bo nyɔ.,"Il est petit, mais propre et confortable"
Mε bi wε nɔ si.,Il est respecté de tous
E fɔn sin gan xixo atɔn ɖie.,Il est réveillé depuis trois heures
E fɔn sin gan atɔn mε.,Il est réveillé depuis trois heures de l'après-midi
E mya ɖi takin ɖɔhun.,Il est rouge comme un piment
Aloka nu jεn e nɔ ɖe.,Il est sans cesse au téléphone
E vε nε kpowun wε.,Il est seulement choqué
E nɔ nu ahan mu a.,Il est sobre
E ɖo atin ɔ gwlε.,Il est sous l’arbre
E ɖo zozo ji.,Il est trop chaud
E wa agun ɔ tεntin.,Il est venu au milieu de la foule
E nyi dotoo kanlin lε tɔn wε bo yi wan nu awi lε.,Il est vétérinaire et il adore les chats
E tuun fe co bo xo gblegble ɖɔ ɖo ji ce wε.,Il fait exprès de dire du mal sur moi
Fi bi fa amɔ gbε ɔ mε nyɔ.,Il fait froid mais le temps est agréable
Xwejisun mε ɔ ji sin hwenu wε.,Il fait toujours un temps pluvieux en mars
Gbε ɔ mε nyɔ a.,Il fait un temps détestable
A na o ɖɔ nu mi !,Il fallait me le dire !
E ɖo na blo kpa ɖo xwe ɔ.,Il faudra entourer le champ d’une clôture
Nu vεεn ahan fifa elɔ.,Il faut boire ce vin frais
E ɖo na do ta do bo na gbɔn hɔn enε ɔ gwlε.,Il faut courber la tête pour passer sous cette porte
E ɖo na blo kpɔ ɖe ma fa a.,Il faut qu'il leur donne une étable
Gan e nɔ gan ε.,Il faut qu'il soit soutenu
E nu azɔ ɖokpo bo ɖido.,Il fuma une cigarette puis il s'en alla
E nɔ nu azɔ gege d'ayi amɔ e o jo do.,Il fumait beaucoup mais il a arrêté
E ɖo azɔ nu wε hwenu ɖe un byɔ xɔ mε ɔ.,Il fumait une cigarette quand je suis entré dans la pièce
